TopDownLevel,sample1,12,10
PlayerStartLocation,2,2
BackgroundTile,MiniWorldSprites/Ground/Grass.png,2,0
StaticGameObject,Wall,0,0
StaticGameObject,Wall,1,0
StaticGameObject,Wall,2,0
StaticGameObject,Wall,3,0
StaticGameObject,Wall,4,0
StaticGameObject,Wall,5,0
StaticGameObject,Wall,6,0
StaticGameObject,Wall,7,0
StaticGameObject,Wall,8,0
StaticGameObject,Wall,9,0
StaticGameObject,Wall,10,0
StaticGameObject,Wall,11,0
StaticGameObject,Wall,0,1
StaticGameObject,Wall,4,1
DynamicGameObject,Tower,10,1
StaticGameObject,Wall,11,1
StaticGameObject,Wall,0,2
StaticGameObject,Wall,4,2
StaticGameObject,Goal,6,2
StaticGameObject,Wall,11,2
StaticGameObject,Wall,0,3
StaticGameObject,Wall,4,3
StaticGameObject,Wall,11,3
StaticGameObject,Wall,0,4
StaticGameObject,Wall,4,4
StaticGameObject,Wall,11,4
StaticGameObject,Wall,0,5
StaticGameObject,Wall,11,5
StaticGameObject,Wall,0,6
StaticGameObject,Wall,11,6
StaticGameObject,Wall,0,7
StaticGameObject,Wall,11,7
StaticGameObject,Wall,0,8
StaticGameObject,Wall,0,9
StaticGameObject,Wall,1,9
StaticGameObject,Wall,2,9
StaticGameObject,Wall,3,9
StaticGameObject,Wall,4,9
StaticGameObject,Wall,5,9
StaticGameObject,Wall,6,9
StaticGameObject,Wall,7,9
StaticGameObject,Wall,8,9
StaticGameObject,Wall,9,9
StaticGameObject,Wall,10,9
StaticGameObject,Wall,11,9
StaticGameObject,Wall,11,8
StaticGameObject,Wall,4,5
StaticGameObject,Wall,5,5
StaticGameObject,Wall,6,5
StaticGameObject,Wall,7,5
StaticGameObject,Wall,8,5
DynamicGameObject,Demon,7,2,100,30
DynamicGameObject,Demon,10,8,100,30
StaticGameObject,InfoNode,2,7,If you're reading this it means you got collision working
StaticGameObject,Potion,9,4,50
