TopDownLevel,sample3,15,15
PlayerStartLocation,1,13
BackgroundTile,MiniWorldSprites/Textures-16.png,1,4
StaticGameObject,Wall,0,0
StaticGameObject,Wall,1,0
StaticGameObject,Wall,2,0
StaticGameObject,Wall,3,0
StaticGameObject,Wall,4,0
StaticGameObject,Wall,5,0
StaticGameObject,Wall,6,0
StaticGameObject,Wall,7,0
StaticGameObject,Wall,8,0
StaticGameObject,Wall,9,0
StaticGameObject,Wall,10,0
StaticGameObject,Wall,11,0
StaticGameObject,Wall,12,0
StaticGameObject,Wall,13,0
StaticGameObject,Wall,14,0
StaticGameObject,Wall,14,1
StaticGameObject,Wall,14,2
StaticGameObject,Wall,14,3
StaticGameObject,Wall,14,4
StaticGameObject,Wall,14,5
StaticGameObject,Wall,14,6
StaticGameObject,Wall,14,7
StaticGameObject,Wall,14,8
StaticGameObject,Wall,14,9
StaticGameObject,Wall,14,10
StaticGameObject,Wall,14,11
StaticGameObject,Wall,14,12
StaticGameObject,Wall,14,13
StaticGameObject,Wall,14,14
StaticGameObject,Wall,13,14
StaticGameObject,Wall,12,14
StaticGameObject,Wall,11,14
StaticGameObject,Wall,10,14
StaticGameObject,Wall,9,14
StaticGameObject,Wall,8,14
StaticGameObject,Wall,7,14
StaticGameObject,Wall,6,14
StaticGameObject,Wall,5,14
StaticGameObject,Wall,4,14
StaticGameObject,Wall,3,14
StaticGameObject,Wall,2,14
StaticGameObject,Wall,1,14
StaticGameObject,Wall,0,14
StaticGameObject,Wall,0,13
StaticGameObject,Wall,0,12
StaticGameObject,Wall,0,11
StaticGameObject,Wall,0,10
StaticGameObject,Wall,0,9
StaticGameObject,Wall,0,8
StaticGameObject,Wall,0,7
StaticGameObject,Wall,0,6
StaticGameObject,Wall,0,5
StaticGameObject,Wall,0,4
StaticGameObject,Wall,0,3
StaticGameObject,Wall,0,2
StaticGameObject,Wall,0,1
StaticGameObject,Goal,13,1
StaticGameObject,MagicPickup,7,7
StaticGameObject,Wall,1,12
StaticGameObject,Wall,2,12
StaticGameObject,Wall,3,12
StaticGameObject,Wall,5,13
StaticGameObject,Wall,5,12
StaticGameObject,Wall,4,10
StaticGameObject,Wall,3,10
StaticGameObject,Wall,2,10
StaticGameObject,Wall,5,10
StaticGameObject,Wall,6,10
StaticGameObject,Wall,7,10
StaticGameObject,Wall,7,11
StaticGameObject,Wall,7,12
StaticGameObject,Wall,9,13
StaticGameObject,Wall,9,12
StaticGameObject,Wall,9,11
StaticGameObject,Wall,7,9
StaticGameObject,Wall,7,8
StaticGameObject,Wall,6,8
StaticGameObject,Wall,6,7
StaticGameObject,Wall,6,6
StaticGameObject,Wall,7,6
StaticGameObject,Wall,8,6
StaticGameObject,Wall,8,8
StaticGameObject,Wall,9,8
StaticGameObject,Wall,10,8
StaticGameObject,Wall,10,7
StaticGameObject,Wall,10,6
StaticGameObject,Wall,10,5
StaticGameObject,Wall,10,4
StaticGameObject,Wall,9,4
StaticGameObject,Wall,8,4
StaticGameObject,Wall,7,4
StaticGameObject,Wall,6,4
StaticGameObject,Wall,5,4
StaticGameObject,Wall,2,9
StaticGameObject,Wall,2,8
StaticGameObject,Wall,2,7
StaticGameObject,Wall,2,6
StaticGameObject,Wall,4,4
StaticGameObject,Wall,4,5
StaticGameObject,Wall,4,6
StaticGameObject,Wall,4,7
StaticGameObject,Wall,4,8
DynamicGameObject,Minotaur,6,9,100,30
StaticGameObject,Wall,9,10
StaticGameObject,Wall,10,10
StaticGameObject,Wall,11,10
DynamicGameObject,Minotaur,10,11,100,30
StaticGameObject,Wall,11,11
StaticGameObject,Wall,11,12
StaticGameObject,Wall,13,12
StaticGameObject,Wall,13,11
StaticGameObject,Wall,13,10
StaticGameObject,Wall,13,9
StaticGameObject,Wall,13,8
StaticGameObject,Wall,12,8
StaticGameObject,Wall,12,7
StaticGameObject,Wall,12,6
StaticGameObject,Wall,12,5
DynamicGameObject,Minotaur,13,7,100,30
StaticGameObject,Wall,13,2
StaticGameObject,Wall,12,2
StaticGameObject,Wall,11,2
StaticGameObject,Wall,10,2
StaticGameObject,Wall,9,2
StaticGameObject,Wall,12,4
StaticGameObject,Potion,13,13,50
StaticGameObject,Wall,4,3
StaticGameObject,Wall,4,2
StaticGameObject,Wall,3,2
StaticGameObject,Wall,2,2
StaticGameObject,Wall,2,4
StaticGameObject,Wall,2,5
StaticGameObject,Wall,8,2
StaticGameObject,Wall,7,2
StaticGameObject,Wall,6,2
DynamicGameObject,Minotaur,12,1,100,30
DynamicGameObject,Minotaur,1,1,100,30
StaticGameObject,Wall,2,1
StaticGameObject,Potion,3,1,50
DynamicGameObject,Minotaur,4,1,100,30
