TopDownLevel,sample4,17,9
PlayerStartLocation,4,2
BackgroundTile,MiniWorldSprites/Ground/Grass.png,2,0
StaticGameObject,Wall,0,0
StaticGameObject,Wall,1,0
StaticGameObject,Wall,2,0
StaticGameObject,Wall,3,0
StaticGameObject,Wall,4,0
StaticGameObject,Wall,5,0
StaticGameObject,Wall,6,0
StaticGameObject,Wall,7,0
StaticGameObject,Wall,8,0
StaticGameObject,Wall,9,0
StaticGameObject,Wall,10,0
StaticGameObject,Wall,11,0
StaticGameObject,Wall,12,0
StaticGameObject,Wall,13,0
StaticGameObject,Wall,14,0
StaticGameObject,Wall,15,0
StaticGameObject,Wall,16,0
StaticGameObject,Wall,16,1
StaticGameObject,Wall,16,2
StaticGameObject,Wall,16,3
StaticGameObject,Wall,16,4
StaticGameObject,Wall,16,5
StaticGameObject,Wall,16,6
StaticGameObject,Wall,16,7
StaticGameObject,Wall,16,8
StaticGameObject,Wall,15,8
StaticGameObject,Wall,14,8
StaticGameObject,Wall,13,8
StaticGameObject,Wall,12,8
StaticGameObject,Wall,11,8
StaticGameObject,Wall,10,8
StaticGameObject,Wall,9,8
StaticGameObject,Wall,8,8
StaticGameObject,Wall,7,8
StaticGameObject,Wall,6,8
StaticGameObject,Wall,5,8
StaticGameObject,Wall,4,8
StaticGameObject,Wall,3,8
StaticGameObject,Wall,2,8
StaticGameObject,Wall,1,8
StaticGameObject,Wall,0,8
StaticGameObject,Wall,0,7
StaticGameObject,Wall,0,6
StaticGameObject,Wall,0,5
StaticGameObject,Wall,0,4
StaticGameObject,Wall,0,3
StaticGameObject,Wall,0,2
StaticGameObject,Wall,0,1
StaticGameObject,Wall,2,2
StaticGameObject,Wall,2,3
StaticGameObject,Wall,2,4
StaticGameObject,Wall,2,5
StaticGameObject,Wall,2,6
StaticGameObject,Wall,3,5
StaticGameObject,Wall,4,4
StaticGameObject,Wall,5,5
StaticGameObject,Wall,6,6
StaticGameObject,Wall,6,5
StaticGameObject,Wall,6,4
StaticGameObject,Wall,6,3
StaticGameObject,Wall,6,2
StaticGameObject,Wall,8,2
StaticGameObject,Wall,8,3
StaticGameObject,Wall,8,4
StaticGameObject,Wall,8,5
StaticGameObject,Wall,8,6
StaticGameObject,Wall,10,2
StaticGameObject,Wall,10,3
StaticGameObject,Wall,10,4
StaticGameObject,Wall,10,5
StaticGameObject,Wall,10,6
StaticGameObject,Wall,11,3
StaticGameObject,Wall,12,4
StaticGameObject,Wall,13,5
StaticGameObject,Wall,14,6
StaticGameObject,Wall,14,5
StaticGameObject,Wall,14,4
StaticGameObject,Wall,14,3
StaticGameObject,Wall,14,2
StaticGameObject,InfoNode,12,2,Thats everything in the sample game so far!
